epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,109.406,0.58254,0.40503,0.89677,0.96292,0.87299,0.91391,0.62394,1.13111,0.67159,1.15248,0.0013862,0.0013862,0.0013862
157,110.082,0.58176,0.39048,0.91121,0.93236,0.89916,0.90937,0.61086,1.15324,0.69796,1.15244,0.00138224,0.00138224,0.00138224
158,110.776,0.56472,0.4087,0.89199,0.92796,0.88235,0.9111,0.61651,1.16693,0.70254,1.14133,0.00137828,0.00137828,0.00137828
159,111.486,0.61096,0.43873,0.93813,0.91905,0.87395,0.91473,0.61941,1.17147,0.69163,1.1395,0.00137432,0.00137432,0.00137432
160,112.181,0.62303,0.43472,0.90881,0.95658,0.85714,0.91108,0.61862,1.14528,0.68038,1.15972,0.00137036,0.00137036,0.00137036
161,112.865,0.64166,0.43518,0.95782,0.9513,0.84874,0.90994,0.61528,1.15111,0.67836,1.17435,0.0013664,0.0013664,0.0013664
162,113.556,0.6192,0.43341,0.9184,0.91284,0.88014,0.91353,0.62175,1.1295,0.66132,1.14284,0.00136244,0.00136244,0.00136244
163,114.241,0.61209,0.42451,0.92443,0.91445,0.86555,0.91315,0.61493,1.13606,0.7123,1.15509,0.00135848,0.00135848,0.00135848
164,114.931,0.59108,0.41851,0.91057,0.93707,0.87596,0.92705,0.63239,1.12647,0.64203,1.15702,0.00135452,0.00135452,0.00135452
165,115.611,0.61096,0.41966,0.91921,0.94461,0.89916,0.93072,0.63427,1.12836,0.63633,1.15607,0.00135056,0.00135056,0.00135056
166,116.299,0.57661,0.39513,0.89644,0.90678,0.89917,0.92481,0.62615,1.17018,0.65487,1.19075,0.0013466,0.0013466,0.0013466
167,116.987,0.5769,0.40911,0.9095,0.95862,0.89916,0.92672,0.63575,1.16264,0.64057,1.1665,0.00134264,0.00134264,0.00134264
168,117.679,0.5726,0.40484,0.90015,0.95376,0.87395,0.9204,0.62712,1.15981,0.64672,1.16913,0.00133868,0.00133868,0.00133868
169,118.356,0.57387,0.38528,0.89398,0.97104,0.84539,0.91514,0.62696,1.14202,0.67344,1.15628,0.00133472,0.00133472,0.00133472
170,119.051,0.57414,0.40796,0.89962,0.97559,0.86555,0.90784,0.62758,1.13604,0.66823,1.16009,0.00133076,0.00133076,0.00133076
171,119.744,0.57585,0.40881,0.91971,0.96982,0.88235,0.91596,0.6097,1.17261,0.69647,1.1826,0.0013268,0.0013268,0.0013268
172,120.431,0.55828,0.38209,0.90091,0.95866,0.88235,0.92006,0.61801,1.15223,0.67208,1.16772,0.00132284,0.00132284,0.00132284
173,121.119,0.5822,0.40102,0.89806,0.92189,0.89269,0.92561,0.62501,1.1339,0.64438,1.15122,0.00131888,0.00131888,0.00131888
174,121.813,0.58238,0.40105,0.92526,0.96284,0.87107,0.9241,0.62083,1.16222,0.66899,1.16794,0.00131492,0.00131492,0.00131492
175,122.505,0.58394,0.41639,0.92517,0.94944,0.84034,0.92023,0.60769,1.16853,0.67868,1.18481,0.00131096,0.00131096,0.00131096
176,123.193,0.54243,0.39772,0.90302,0.94199,0.87395,0.90352,0.61163,1.17374,0.71687,1.19654,0.001307,0.001307,0.001307
177,123.871,0.59806,0.41546,0.90939,0.95166,0.87395,0.89857,0.60441,1.20894,0.73782,1.22246,0.00130304,0.00130304,0.00130304
178,124.56,0.58996,0.41987,0.90608,0.93583,0.85781,0.90525,0.6097,1.20289,0.72637,1.2167,0.00129908,0.00129908,0.00129908
179,125.248,0.58113,0.41795,0.9019,0.89698,0.86555,0.90919,0.61197,1.17515,0.7058,1.19467,0.00129512,0.00129512,0.00129512
180,125.94,0.5825,0.40808,0.92168,0.90362,0.86555,0.91283,0.62227,1.17457,0.70516,1.18775,0.00129116,0.00129116,0.00129116
181,126.621,0.53876,0.38373,0.87805,0.91757,0.86555,0.91215,0.62096,1.17756,0.70335,1.19124,0.0012872,0.0012872,0.0012872
182,127.309,0.57536,0.39498,0.90121,0.90703,0.89916,0.90944,0.61314,1.15126,0.69896,1.16845,0.00128324,0.00128324,0.00128324
183,128,0.55844,0.38692,0.90945,0.89988,0.90756,0.91113,0.62514,1.12665,0.67947,1.14306,0.00127928,0.00127928,0.00127928
